GeneID	SRR1023811	SRR1023810	SRR1023805	SRR1023808	SRR1023812	SRR1023806	SRR1023809	SRR1023807
WP_003400253.1	7622	9073	13568	2722	7186	12854	9375	3076
WP_003400271.1	7178	7002	7771	2770	6249	9277	6180	3204
WP_003899768.1	2146	1512	2269	814	1815	2356	1706	828
WP_003899769.1	1093	863	1243	545	1001	1217	975	646
WP_003917863.1	18194	13442	15728	10218	16358	17922	13360	12004
WP_003400286.1	18083	13945	15304	9381	15890	17919	13146	10940
WP_003400291.1	5193	3994	4188	2113	4596	4966	3383	2722
WP_015626284.1	175	142	199	70	155	188	139	70
WP_003400307.1	1307	1717	1190	409	1126	1707	1189	583
WP_003400321.1	18677	22010	22282	5711	18120	25331	21202	7072
WP_003899772.1	4825	6276	6140	1626	4751	7900	6005	1956
WP_003400344.1	3578	2186	3378	1508	3226	3196	2190	1659
WP_003900786.1	4805	4876	4142	2207	4032	5813	4241	3137
WP_003899773.1	3550	3377	3837	1476	3401	3765	3044	1663
WP_003400356.1	6217	5473	8053	2940	6556	7084	5699	3210
WP_003400358.1	6459	6492	8053	3154	6430	8811	6257	4195
WP_003899775.1	6104	5994	8288	2727	6085	8204	6480	3153
WP_003400364.1	4327	4963	6412	2061	4704	6228	4845	2386
WP_003899776.1	6616	6419	8714	3289	6561	9062	7131	4048
WP_003400373.1	3848	3696	4335	1465	3640	5186	3536	1988
WP_003899777.1	25937	26056	27177	12023	22743	30262	21828	14792
WP_003899778.1	2053	1729	2177	936	2031	2201	1784	1100
WP_003400388.1	139	204	195	53	153	247	188	84
WP_003400391.1	1768	1557	2147	763	1847	2264	1500	932
WP_003400393.1	2991	2710	3106	1155	2829	3878	2669	1549
WP_003899780.1	1868	1597	2112	955	1934	2060	1770	989
WP_003400401.1	800	584	434	428	714	529	578	574
WP_003400405.1	919	600	626	519	822	610	621	600
WP_003917865.1	578	409	460	327	639	491	395	414
WP_003400413.1	1354	1012	1534	559	1365	1459	1149	658
WP_003900791.1	322	340	367	140	302	450	330	198
WP_003907264.1	125	384	541	62	148	481	539	54
WP_003905217.1	1202	3839	3564	449	1155	4157	3519	551
WP_003400418.1	238	838	782	71	229	902	705	80
WP_003400421.1	291	1141	781	81	223	1003	954	95
WP_003400425.1	2148	5372	4510	761	2048	5136	4396	851
WP_003400427.1	4026	3493	3069	1359	3284	4164	2763	1948
WP_078440990.1	4628	3465	3711	2285	4128	4542	3448	3041
WP_003400460.1	3500	2884	3546	2277	3295	4133	2905	2936
WP_003907179.1	2415	3185	3182	1085	2539	3560	2771	1399
WP_003900793.1	9190	13562	13857	5318	8596	15839	10393	6880
WP_003900794.1	7528	4581	4854	4004	6801	5596	4236	4781
WP_003400476.1	2497	2039	2323	766	2371	2229	1792	1009
WP_003899786.1	1440	1246	1223	601	1268	1470	1048	769
WP_003400486.1	1495	1700	1317	656	1272	1730	1444	853
WP_003400489.1	4361	4215	4370	2167	3621	6122	3567	3007
WP_003400492.1	20253	21378	22011	11857	16493	29601	18050	15508
WP_003917869.1	7378	7654	10376	7739	6637	11464	7171	9564
